id,Gender,Age,Class,Flight Distance,Food and drink,On-board service,Checkin service,Cleanliness,satisfaction
753,Female,57,Business,354,3,3,4,3,satisfied
102746,Male,26,Business,255,4,4,4,4,satisfied
83170,Male,30,Eco Plus,957,2,3,4,2,neutral or dissatisfied
55729,Male,40,Business,1969,5,2,5,5,satisfied
13307,Female,36,Business,448,2,,2,1,satisfied
29608,Male,18,Business,3766,3,2,2,3,neutral or dissatisfied
21670,Male,31,Business,708,3,4,4,3,satisfied
105133,Female,53,Business,289,3,4,5,3,satisfied
41784,Male,63,Eco,508,5,4,4,5,neutral or dissatisfied
34080,Female,49,Eco Plus,174,4,4,4,2,neutral or dissatisfied
31893,Male,51,Eco,2762,4,2,3,4,neutral or dissatisfied
32057,Female,31,Business,102,4,5,3,4,satisfied
64168,Male,67,Eco,989,1,5,4,1,neutral or dissatisfied
106370,Male,30,Business,2486,4,4,5,4,satisfied
37410,Male,29,Eco,828,2,4,4,2,neutral or dissatisfied
36097,Male,63,Eco,399,5,5,4,5,neutral or dissatisfied
28627,Male,60,Business,2355,3,4,3,1,neutral or dissatisfied
40524,Male,58,Eco Plus,188,5,2,4,5,neutral or dissatisfied
110697,Female,63,Eco,945,4,2,3,1,neutral or dissatisfied
94182,Female,24,Eco,189,5,3,4,5,neutral or dissatisfied
43866,Female,72,Business,2971,3,4,5,5,satisfied
26746,Male,45,Business,3230,3,5,3,2,satisfied
118104,Male,52,Eco,499,2,4,4,2,neutral or dissatisfied
96266,Male,61,Eco,546,5,2,2,5,neutral or dissatisfied
74919,Male,41,Business,2475,4,5,4,3,satisfied
120703,Male,46,Eco,280,5,3,3,5,neutral or dissatisfied
32409,Male,36,Eco,163,4,4,1,4,neutral or dissatisfied
22458,Male,50,Eco,143,4,4,2,4,neutral or dissatisfied
99172,Female,24,Eco,1076,4,4,3,4,neutral or dissatisfied
98815,Female,39,Business,763,5,4,5,5,satisfied
126067,Male,31,Business,328,4,5,3,4,satisfied
54476,Male,30,Business,3468,3,4,2,3,neutral or dissatisfied
98835,Male,65,Eco,444,1,3,4,4,neutral or dissatisfied
98495,Female,40,Business,402,5,5,3,5,satisfied
20134,Male,25,Eco,416,3,1,1,3,neutral or dissatisfied
4240,Female,41,Business,3107,5,4,3,3,satisfied
69987,Female,52,Business,2134,4,5,4,3,satisfied
104572,Female,43,Business,369,5,2,4,4,satisfied
792,Female,41,Business,158,4,4,3,4,satisfied
125206,Female,22,Business,251,2,1,3,2,satisfied
120869,Female,31,Business,2523,4,4,4,4,satisfied
43870,Female,39,Eco,114,4,3,4,4,neutral or dissatisfied
123464,Male,58,Business,2296,5,3,5,5,satisfied
127741,Female,45,Business,3784,5,2,4,2,neutral or dissatisfied
117908,Female,23,Business,365,1,5,3,1,satisfied
27644,Female,35,Eco Plus,937,2,5,4,2,neutral or dissatisfied
35279,Female,27,Eco,1069,2,4,2,2,neutral or dissatisfied
31041,Male,28,Business,641,5,2,2,5,satisfied
79970,Female,48,Eco,1076,4,4,1,4,neutral or dissatisfied
81735,Female,58,Business,2572,5,3,3,5,satisfied
49333,Female,26,Eco,308,4,3,5,4,neutral or dissatisfied
66496,Male,36,Eco,447,2,1,4,2,neutral or dissatisfied
45361,Male,28,Eco,150,1,4,5,1,neutral or dissatisfied
516,Male,,Business,247,4,3,3,4,satisfied
61978,Female,63,Business,2475,4,2,1,3,neutral or dissatisfied
5431,Female,42,Business,265,5,4,4,4,satisfied
76260,Male,60,Eco Plus,1399,4,1,1,4,satisfied
124153,Male,25,Business,1304,4,3,4,4,satisfied
16233,Male,39,Business,2777,2,4,3,5,satisfied
32817,Male,58,Eco,102,2,4,1,2,neutral or dissatisfied
49759,Male,38,Eco,109,2,4,1,2,neutral or dissatisfied
84234,Male,69,Eco,432,3,2,2,3,neutral or dissatisfied
46783,Male,40,Business,3101,2,4,3,3,satisfied
63355,Female,53,Eco,337,4,1,3,5,neutral or dissatisfied
84100,Male,70,Eco Plus,932,3,1,4,3,neutral or dissatisfied
46727,Male,49,Eco,141,4,2,3,4,neutral or dissatisfied
30133,Male,70,Eco,31,4,3,3,4,neutral or dissatisfied
47539,Male,55,Eco,558,2,4,4,2,neutral or dissatisfied
30127,Female,48,Eco,183,4,4,1,3,neutral or dissatisfied
63484,Male,38,Eco Plus,337,1,5,5,1,neutral or dissatisfied
63054,Female,43,Eco,967,3,3,4,1,neutral or dissatisfied
124973,Male,54,Eco,184,4,3,1,4,neutral or dissatisfied
77103,Male,52,Eco,1481,3,1,1,3,neutral or dissatisfied
48181,Male,75,Business,192,1,2,3,4,neutral or dissatisfied
82258,Female,41,Business,1481,2,4,4,4,satisfied
28358,Female,25,Eco Plus,867,1,2,3,1,neutral or dissatisfied
55828,Male,47,Business,1416,3,5,5,4,satisfied
128637,Female,21,Eco,679,5,4,4,5,neutral or dissatisfied
58693,Male,41,Eco,299,4,3,3,4,neutral or dissatisfied
81156,Male,26,Business,700,5,4,4,5,neutral or dissatisfied
75804,Male,48,Eco Plus,813,1,1,2,1,neutral or dissatisfied
37713,Male,51,Eco,972,2,3,4,2,neutral or dissatisfied
120942,Female,58,Business,3011,3,5,3,3,satisfied
114121,Male,37,Business,850,4,1,3,4,neutral or dissatisfied
56047,Male,36,Business,2050,5,3,5,5,satisfied
118405,Male,31,Business,451,5,4,3,5,neutral or dissatisfied
103901,Female,22,Eco Plus,882,3,2,4,3,neutral or dissatisfied
99430,Male,37,Eco,337,5,4,1,5,neutral or dissatisfied
20539,Male,25,Eco,565,2,2,3,2,neutral or dissatisfied
92959,Male,51,Business,1694,4,3,3,3,satisfied
47133,Male,25,Business,679,2,3,4,2,neutral or dissatisfied
45394,Male,47,Eco,1437,5,3,1,5,satisfied
6915,Female,27,Eco,265,5,1,2,5,neutral or dissatisfied
119734,Male,43,Eco,1303,1,3,3,1,neutral or dissatisfied
71526,Male,56,Business,3954,1,3,3,2,neutral or dissatisfied
94972,Male,46,Business,2138,2,4,1,2,satisfied
78435,Male,23,Business,526,5,4,3,3,satisfied
79589,Male,27,Business,762,1,4,5,1,satisfied
22867,Male,27,Eco,147,3,4,3,3,neutral or dissatisfied
116452,Female,66,Eco,296,5,4,3,5,neutral or dissatisfied
24280,Female,62,Eco,170,3,3,1,1,neutral or dissatisfied
99133,Female,33,Eco,237,3,3,3,3,neutral or dissatisfied
108471,Male,25,Eco,1444,3,2,1,3,neutral or dissatisfied
127265,Female,29,Eco,1107,3,1,3,3,neutral or dissatisfied
74998,Male,15,Eco,2454,3,2,1,3,neutral or dissatisfied
48024,Female,36,Eco,1384,4,3,3,4,satisfied
8807,Female,46,Eco,552,4,3,2,3,neutral or dissatisfied
101969,Male,35,Eco,804,2,4,1,2,neutral or dissatisfied
82369,Male,60,Business,3015,2,4,5,4,satisfied
109196,Female,51,Eco,616,5,2,4,1,neutral or dissatisfied
4187,Female,58,Business,431,4,5,5,3,satisfied
111757,Male,33,Business,1436,4,4,3,4,satisfied
119421,Female,7,Eco,399,3,5,4,3,neutral or dissatisfied
19536,Male,52,Business,2891,2,4,3,4,satisfied
28499,Female,61,Business,2715,3,4,4,5,neutral or dissatisfied
74168,Male,65,Eco,721,1,2,4,1,neutral or dissatisfied
49709,Female,32,Business,262,5,2,1,5,satisfied
45980,Male,46,Eco,483,3,5,2,3,satisfied
6888,Male,40,Business,287,1,5,5,1,neutral or dissatisfied
126488,Female,47,Eco,349,1,2,5,1,neutral or dissatisfied
64013,Female,49,Business,3206,1,3,3,3,neutral or dissatisfied
123727,Female,49,Business,1795,5,5,3,3,satisfied
32135,Female,30,Eco,163,5,3,3,5,satisfied
61233,Female,45,Business,3031,4,4,3,5,satisfied
17473,Male,39,Eco,341,5,2,2,5,satisfied
86001,Female,56,Business,447,2,4,5,5,satisfied
47737,Female,70,Business,550,3,2,4,3,neutral or dissatisfied
20058,Male,14,Eco,738,4,4,5,4,neutral or dissatisfied
117903,Female,33,Business,365,3,2,4,3,neutral or dissatisfied
60246,Male,19,Eco,1546,2,5,4,2,neutral or dissatisfied
110721,Female,42,Business,2119,5,4,5,3,satisfied
9315,Female,59,Business,419,4,2,1,2,neutral or dissatisfied
93758,,47,Business,3361,1,2,1,2,satisfied
31202,Female,32,Business,2780,4,2,1,4,neutral or dissatisfied
54171,Female,26,Eco,1504,4,5,4,4,neutral or dissatisfied
9090,Female,68,Eco,160,5,2,3,3,neutral or dissatisfied
10884,Female,36,Business,2700,2,2,2,2,neutral or dissatisfied
55992,Male,24,Business,2586,4,2,5,5,neutral or dissatisfied
13487,Male,32,Business,3660,1,1,1,1,satisfied
103823,Male,51,Eco,1048,3,3,1,3,neutral or dissatisfied
114349,Male,43,Eco,819,4,4,4,4,neutral or dissatisfied
99896,Male,36,Business,3874,1,2,5,3,satisfied
98831,Female,16,Eco,763,5,5,3,5,neutral or dissatisfied
79478,Male,34,Business,712,2,5,3,2,neutral or dissatisfied
548,Female,55,Business,134,3,4,5,3,neutral or dissatisfied
112555,Male,52,Business,3000,4,4,4,3,satisfied
37339,Female,58,Eco,1076,3,3,2,1,neutral or dissatisfied
123692,Male,55,Eco,214,4,1,4,4,satisfied
2412,Male,47,Eco,204,3,2,4,3,neutral or dissatisfied
15982,Female,36,Eco,780,5,4,1,5,neutral or dissatisfied
12595,Female,61,Business,3451,5,5,3,4,satisfied
42761,Male,29,Eco,493,4,3,5,4,neutral or dissatisfied
75759,Male,20,Eco,868,2,1,1,2,neutral or dissatisfied
24322,Male,43,Business,3800,2,4,4,3,satisfied
57475,Female,24,Eco,680,2,3,4,2,satisfied
74328,Female,58,Business,1171,3,5,4,3,satisfied
90933,Female,36,Business,3919,2,2,3,2,neutral or dissatisfied
13642,Male,22,Eco,835,3,3,5,3,neutral or dissatisfied
10439,Female,42,Business,1546,2,5,3,5,satisfied
110869,Male,25,Business,545,1,3,5,1,neutral or dissatisfied
12113,Male,18,Eco,1034,2,2,4,2,neutral or dissatisfied
31201,Female,44,Business,628,3,3,3,3,neutral or dissatisfied
78622,Female,22,Business,1426,2,3,2,2,neutral or dissatisfied
56380,Male,41,Business,1624,3,5,5,3,satisfied
117782,Male,53,Eco,1912,4,3,4,4,neutral or dissatisfied
13141,Female,39,Eco,562,2,4,3,2,neutral or dissatisfied
76252,Male,13,Eco,1399,1,3,4,1,neutral or dissatisfied
86895,Female,22,Eco,341,2,3,3,2,satisfied
58803,Female,29,Eco,1005,4,5,3,4,neutral or dissatisfied
49412,Male,53,Eco,109,4,1,5,4,satisfied
26665,Female,34,Eco,404,3,2,1,3,neutral or dissatisfied
1268,Female,60,Eco,396,1,5,2,1,neutral or dissatisfied
109889,Female,23,Business,3982,2,4,4,2,neutral or dissatisfied
69078,Female,23,Eco,1389,5,1,1,5,satisfied
61072,Female,50,Eco,1709,4,4,4,2,neutral or dissatisfied
24119,Female,62,Eco,510,3,3,4,5,satisfied
56374,Female,26,Eco,200,3,2,1,3,neutral or dissatisfied
102254,Female,48,Business,1951,2,5,4,5,satisfied
54879,Male,27,Eco,862,5,4,3,5,neutral or dissatisfied
85648,Female,26,Eco Plus,153,3,4,4,3,satisfied
62970,Male,50,Eco,862,4,1,2,4,neutral or dissatisfied
121098,Male,44,Eco,1558,4,4,4,4,neutral or dissatisfied
39533,Male,38,Business,945,4,4,3,5,satisfied
127897,Female,39,Business,1671,3,3,5,3,neutral or dissatisfied
118508,Female,25,Business,304,3,3,5,3,neutral or dissatisfied
35554,Female,45,Eco,989,5,4,3,4,neutral or dissatisfied
96950,Female,25,Business,883,4,5,4,4,neutral or dissatisfied
128766,Male,49,Eco,150,5,4,5,5,satisfied
16439,Female,30,Business,1981,4,2,4,4,satisfied
76964,Female,37,Eco,1990,1,2,2,1,neutral or dissatisfied
23770,Female,69,Business,374,5,3,3,4,neutral or dissatisfied
79405,Male,47,Business,509,4,3,2,2,neutral or dissatisfied
71490,Female,29,Business,3449,5,4,3,5,neutral or dissatisfied
24342,Female,20,Eco,634,3,4,4,3,neutral or dissatisfied
103382,Female,44,Business,237,3,4,5,3,satisfied
44834,Female,70,Eco,462,1,5,4,2,satisfied
52244,Male,21,Eco,451,4,3,4,4,neutral or dissatisfied
90539,Female,33,Business,2830,2,4,5,3,satisfied
7420,Male,54,Business,552,2,1,2,4,neutral or dissatisfied
34646,Female,65,Eco,427,3,4,4,4,neutral or dissatisfied
44514,Male,26,Eco,157,4,5,2,4,neutral or dissatisfied
100681,Female,24,Business,2782,3,1,3,3,neutral or dissatisfied
43734,Male,40,Eco,294,5,4,2,5,satisfied
89289,Male,30,Business,453,5,3,5,5,satisfied
30286,Female,33,Business,1476,2,5,2,3,satisfied
117572,Female,30,Business,1020,3,1,1,3,neutral or dissatisfied
89766,Female,9,Eco,950,2,2,1,2,satisfied
74019,Male,53,Business,1471,4,4,4,4,satisfied
47198,Male,39,Eco,279,2,2,1,2,neutral or dissatisfied
48932,Female,29,Business,2781,5,3,5,5,satisfied
122000,Male,27,Business,130,5,3,3,5,satisfied
120929,Male,47,Business,3612,4,5,5,4,satisfied
52990,Male,42,Business,1208,3,5,4,4,satisfied
112265,Male,57,Eco,1393,3,1,4,3,neutral or dissatisfied
129876,Male,28,Eco Plus,447,4,5,4,4,neutral or dissatisfied
119034,Male,48,Business,2378,2,3,3,2,neutral or dissatisfied
114004,Male,18,Eco,1855,5,1,1,5,neutral or dissatisfied
26897,Male,26,Business,1770,3,4,3,3,satisfied
75972,Female,60,Business,3637,5,4,4,3,satisfied
120058,Female,21,Eco,,4,5,4,4,neutral or dissatisfied
95476,Male,40,Business,1679,4,4,4,4,satisfied
110020,Male,49,Eco,1142,4,1,1,4,neutral or dissatisfied
92494,Female,38,Business,3081,2,4,4,2,satisfied
3083,Female,34,Business,1884,3,3,3,3,neutral or dissatisfied
7862,Female,38,Business,948,3,5,3,3,satisfied
66799,Male,43,Business,1803,3,1,5,5,satisfied
69067,Male,31,Eco,1389,5,4,2,5,neutral or dissatisfied
78753,Male,20,Eco,447,2,4,2,2,neutral or dissatisfied
56157,Female,46,Eco,1400,5,4,1,5,neutral or dissatisfied
80486,Male,53,Eco Plus,1299,2,4,3,2,neutral or dissatisfied
4891,Female,47,Eco Plus,408,4,4,5,3,neutral or dissatisfied
126181,Female,51,Business,3633,2,2,2,2,neutral or dissatisfied
68564,Female,54,Business,1616,3,3,4,3,satisfied
75427,Male,17,Business,1096,4,3,4,4,satisfied
16528,Female,41,Eco,209,4,3,3,4,neutral or dissatisfied
89283,Female,38,Business,3174,2,2,3,3,neutral or dissatisfied
30706,Male,59,Business,464,5,4,5,5,satisfied
106995,Male,51,Eco,937,4,4,5,4,neutral or dissatisfied
43104,Female,66,Eco,259,1,1,4,3,neutral or dissatisfied
127747,Female,34,Eco,601,3,2,1,3,neutral or dissatisfied
8071,Male,51,Business,3530,4,4,4,5,satisfied
22673,Male,50,Business,589,4,2,4,5,satisfied
100414,Male,57,Eco Plus,1052,2,3,5,2,neutral or dissatisfied
56078,Male,51,Eco,2586,3,5,5,5,neutral or dissatisfied
101772,Female,46,Business,1521,2,2,4,2,neutral or dissatisfied
126216,Male,38,Business,1764,4,4,5,3,satisfied
69390,Female,26,Business,1096,5,3,3,5,neutral or dissatisfied
115585,Male,61,Eco,308,5,3,4,5,neutral or dissatisfied
99060,Male,50,Business,1521,5,4,4,4,satisfied
45747,Female,69,Business,391,2,4,3,4,neutral or dissatisfied
71433,Male,30,Business,3493,2,5,4,2,satisfied
112966,Male,63,Eco,1642,2,3,3,2,neutral or dissatisfied
100357,Male,17,Eco,1033,1,5,3,1,neutral or dissatisfied
92444,Male,56,Business,1892,5,4,4,3,satisfied
102974,Male,39,Business,666,4,3,4,2,neutral or dissatisfied
36767,Female,46,Business,2704,2,4,2,2,satisfied
43454,Male,25,Eco,679,1,3,1,1,satisfied
62215,Male,34,Eco,2565,4,3,3,4,neutral or dissatisfied
9137,Male,12,Eco,826,5,2,2,5,neutral or dissatisfied
57691,Male,27,Business,867,5,3,4,5,satisfied
100942,Male,42,Business,1204,2,4,5,3,satisfied
22950,Male,35,Business,489,3,3,3,3,neutral or dissatisfied
21259,Female,38,Eco Plus,153,3,1,2,3,neutral or dissatisfied
100598,Male,24,Eco,718,5,4,4,5,neutral or dissatisfied
31662,Male,41,Eco,967,5,5,5,5,satisfied
73481,Female,25,Eco,1197,1,3,3,1,neutral or dissatisfied
111835,Male,40,Business,1605,5,3,5,5,satisfied
9105,Male,45,Business,707,2,3,2,2,neutral or dissatisfied
34062,Male,26,Eco,955,1,3,4,1,neutral or dissatisfied
86834,Female,23,Eco,692,4,3,2,2,neutral or dissatisfied
80699,Male,47,Eco,874,4,3,5,4,neutral or dissatisfied
103508,Male,68,Business,2585,2,2,1,2,neutral or dissatisfied
113759,Male,31,Eco,223,1,4,3,1,neutral or dissatisfied
75226,Male,23,Eco,244,4,2,4,4,neutral or dissatisfied
95817,Female,22,Eco,955,3,4,4,3,neutral or dissatisfied
28225,Male,46,Eco Plus,834,1,5,5,1,neutral or dissatisfied
22058,Male,30,Business,1819,4,3,4,4,satisfied
117556,Male,32,Business,3262,5,3,5,5,satisfied
92566,Male,29,Business,2139,4,3,4,4,satisfied
10297,Female,42,Business,429,4,5,4,3,satisfied
118349,Female,18,Eco,602,3,2,1,3,neutral or dissatisfied
7414,Female,24,Business,522,3,3,4,3,neutral or dissatisfied
26001,Female,46,Business,3057,3,5,4,3,satisfied
127287,Female,46,Eco,1107,3,4,3,3,neutral or dissatisfied
15366,Female,38,Eco,433,2,1,3,2,satisfied
125323,Male,8,Eco,599,4,3,5,4,neutral or dissatisfied
58663,Male,46,Eco,867,2,2,2,2,neutral or dissatisfied
102184,Male,62,Eco,258,2,4,2,2,neutral or dissatisfied
38632,Female,49,Business,2704,3,4,5,4,satisfied
27751,Female,23,Business,1533,5,1,5,5,satisfied
33629,Male,38,Eco,474,3,3,5,3,satisfied
75071,Female,68,Business,3033,3,5,1,3,satisfied
76075,Female,10,Eco,669,1,1,4,1,neutral or dissatisfied
26315,Female,41,Eco,2139,3,3,5,3,neutral or dissatisfied
36756,Male,26,Business,2611,1,4,4,4,neutral or dissatisfied
75650,Male,58,Business,1659,2,4,3,3,satisfied
34190,Male,13,Eco,1189,4,1,3,4,satisfied
53793,Female,42,Business,3848,5,4,5,1,satisfied
18482,Female,41,Business,383,5,4,4,3,satisfied
60155,Male,18,Eco,1012,5,1,4,5,neutral or dissatisfied
115233,Female,37,Business,446,1,3,5,1,neutral or dissatisfied
114767,Female,36,Eco,372,3,1,4,3,neutral or dissatisfied
14248,Male,47,Eco,1027,1,2,2,1,neutral or dissatisfied
94291,Male,60,Business,3349,3,4,5,4,satisfied
81030,Female,23,Business,3553,4,5,4,4,satisfied
101271,Female,30,Business,978,4,5,5,4,satisfied
42423,Female,32,Eco Plus,451,4,3,2,4,neutral or dissatisfied
84399,Female,52,Eco,206,3,4,2,5,satisfied
23242,Female,69,Eco Plus,549,4,5,3,3,neutral or dissatisfied
7557,Male,8,Eco,606,1,3,5,1,neutral or dissatisfied
71485,Male,57,Business,2670,4,3,4,4,satisfied
37703,Female,39,Eco,972,3,5,5,3,neutral or dissatisfied
35711,Female,36,Eco,2586,1,3,4,4,neutral or dissatisfied
22500,Female,13,Eco,143,4,3,2,4,neutral or dissatisfied
64705,Female,54,Business,2974,5,5,5,3,satisfied
109608,,46,Business,973,2,4,1,2,neutral or dissatisfied
26525,Female,13,Business,3607,3,4,1,3,neutral or dissatisfied
88688,Male,22,Eco,545,3,2,2,3,neutral or dissatisfied
14488,Male,68,Eco,495,1,5,5,1,neutral or dissatisfied
9036,Male,60,Business,3207,5,5,4,4,satisfied
35123,Female,30,Business,2360,5,5,2,5,satisfied
61814,Male,18,Eco,1379,4,4,4,4,neutral or dissatisfied
82896,Female,25,Eco,594,5,2,2,5,neutral or dissatisfied
51699,Female,43,Eco,237,3,5,1,1,neutral or dissatisfied
40797,Female,20,Eco,558,3,3,2,3,neutral or dissatisfied
98106,Male,59,Business,3065,3,2,5,4,satisfied
100339,Male,25,Eco,571,2,1,5,2,neutral or dissatisfied
69799,Male,25,Eco,1055,1,3,3,1,neutral or dissatisfied
99803,Male,23,Business,584,4,4,2,4,satisfied
25203,Female,54,Eco,842,4,4,1,2,satisfied
22842,Female,12,Eco,170,4,3,4,4,neutral or dissatisfied
1796,Female,21,Eco,408,1,5,5,1,satisfied
115698,Male,62,Business,3645,1,1,4,4,neutral or dissatisfied
124092,Male,60,Business,2708,5,4,4,5,satisfied
7200,Female,39,Eco,116,1,1,1,1,neutral or dissatisfied
99573,Male,39,Business,2863,5,3,2,2,neutral or dissatisfied
6257,Male,42,Eco Plus,594,2,3,5,2,neutral or dissatisfied
66317,Male,13,Eco,852,4,4,1,4,neutral or dissatisfied
34129,Female,38,Business,2106,5,4,4,1,satisfied
64785,Male,55,Business,2672,5,5,4,4,satisfied
128615,Male,48,Business,1664,2,4,3,5,satisfied
21752,Male,12,Eco,563,2,4,5,2,neutral or dissatisfied
125642,Male,46,Business,857,,3,4,3,satisfied
31974,Female,57,Business,2358,4,2,1,4,neutral or dissatisfied
107694,Male,57,Business,2228,4,5,5,4,satisfied
23864,Male,54,Eco,552,3,5,4,3,neutral or dissatisfied
120547,Female,52,Business,2176,4,5,4,5,satisfied
103779,Female,42,Business,1567,5,3,5,5,satisfied
79320,Female,43,Business,1698,3,4,4,5,satisfied
39894,Female,11,Eco,272,4,4,4,4,satisfied
106103,Male,48,Business,3485,4,2,1,4,neutral or dissatisfied
111695,Female,50,Business,1910,2,5,5,4,satisfied
62275,Female,24,Eco,236,3,4,5,3,neutral or dissatisfied
27471,Female,45,Eco,605,1,2,2,4,neutral or dissatisfied
128757,Male,31,Business,1956,4,5,5,4,satisfied
33745,Female,36,Eco,777,1,1,1,1,neutral or dissatisfied
44248,Female,23,Business,359,4,3,3,4,satisfied
34958,Male,36,Eco Plus,187,4,3,,4,neutral or dissatisfied
104593,Female,40,Eco,369,3,2,1,3,neutral or dissatisfied
19978,Female,28,Business,599,3,4,4,3,satisfied
10347,Male,46,Business,2460,4,5,3,3,satisfied
65914,Female,21,Business,1939,5,3,4,5,satisfied
95566,Male,66,Eco Plus,192,2,5,5,2,neutral or dissatisfied
48505,Female,50,Eco,737,5,4,4,1,neutral or dissatisfied
43300,Male,40,Eco,387,5,5,5,5,satisfied
17795,Male,32,Eco,1075,3,1,4,3,neutral or dissatisfied
55958,Male,41,Business,1620,4,5,4,4,satisfied
76871,Female,34,Eco,1927,5,3,4,5,neutral or dissatisfied
26998,Male,42,Business,1683,5,3,3,3,neutral or dissatisfied
87713,Male,10,Eco,606,5,4,3,5,neutral or dissatisfied
44549,Male,59,Eco,157,3,2,1,3,neutral or dissatisfied
56742,Male,45,Eco,937,5,2,3,5,neutral or dissatisfied
34358,Male,29,Eco,541,2,4,1,2,neutral or dissatisfied
126719,Male,45,Business,2402,4,4,4,3,satisfied
124907,Male,45,Business,1940,2,5,4,4,satisfied
17135,Male,32,Eco,423,2,4,5,2,neutral or dissatisfied
37819,Female,21,Business,2579,4,3,4,4,satisfied
101506,Female,44,Eco,345,2,,2,2,neutral or dissatisfied
80605,Male,58,Business,1983,5,5,5,3,satisfied
49011,Female,42,Eco,266,2,4,3,3,satisfied
109474,Female,27,Eco,861,3,1,3,3,neutral or dissatisfied
55963,Female,59,Business,1620,5,5,3,5,satisfied
119882,Female,60,Eco,912,2,1,4,3,neutral or dissatisfied
42946,Male,7,Business,259,1,2,5,1,neutral or dissatisfied
29391,Female,26,Business,2417,4,3,1,4,satisfied
37517,Male,66,Eco,944,3,4,3,3,neutral or dissatisfied
46132,Male,29,Business,627,5,5,3,5,satisfied
25185,Male,40,Business,577,5,4,5,3,satisfied
67238,Female,26,Eco,1121,2,3,5,2,neutral or dissatisfied
1243,Male,9,Eco,354,1,4,3,1,satisfied
124370,Female,59,Business,2349,5,4,3,4,satisfied
99527,Male,48,Business,2060,4,5,5,4,satisfied
29743,Male,38,Business,3301,5,4,5,3,satisfied
73719,Male,34,Eco,192,1,1,1,1,neutral or dissatisfied
120399,Male,35,Eco,337,3,4,1,3,neutral or dissatisfied
99013,Female,45,,543,5,2,2,2,neutral or dissatisfied
42797,Female,34,Business,2780,5,4,3,5,satisfied
21729,Female,52,Eco,563,5,4,4,1,satisfied
103725,Male,50,Eco,251,5,5,3,5,neutral or dissatisfied
44034,Male,56,Eco,237,2,5,2,2,satisfied
88168,Female,49,Eco,594,3,1,2,4,neutral or dissatisfied
12307,Female,45,Business,2119,3,4,1,4,satisfied
76683,Female,26,Eco,481,1,1,4,1,neutral or dissatisfied
111774,Female,46,Business,1620,3,4,5,5,satisfied
40179,Male,45,Eco,436,3,5,3,3,neutral or dissatisfied
59787,Male,10,Eco,895,2,5,2,2,neutral or dissatisfied
97211,Male,49,Business,1390,4,5,4,4,satisfied
32332,Female,49,Business,2290,4,2,2,2,satisfied
51887,Male,56,Eco,507,4,3,2,4,satisfied
97819,Male,44,Business,395,2,5,4,4,satisfied
30722,Male,30,Eco,1123,3,3,5,3,neutral or dissatisfied
40372,Female,25,Eco,1250,5,5,2,5,neutral or dissatisfied
2427,Female,42,Eco,604,3,3,2,3,neutral or dissatisfied
114130,Female,24,Business,850,3,4,4,3,satisfied
115859,Female,18,Eco,480,3,2,3,3,neutral or dissatisfied
124560,Male,24,Eco,453,4,3,3,4,neutral or dissatisfied
26735,Male,48,Eco Plus,270,5,2,3,5,satisfied
25719,Female,59,Eco,432,3,1,2,3,neutral or dissatisfied
79407,Female,22,Business,502,3,3,3,3,neutral or dissatisfied
114542,Female,58,Business,446,4,1,3,4,neutral or dissatisfied
24878,Female,40,Eco,534,4,1,3,4,satisfied
119600,Male,31,Business,1979,4,1,2,4,neutral or dissatisfied
32160,Male,36,Eco,101,4,3,5,4,satisfied
96877,Female,55,Eco,849,2,1,4,3,neutral or dissatisfied
42062,Male,16,Eco,106,3,3,4,3,neutral or dissatisfied
40395,Male,38,Business,2494,5,5,5,5,satisfied
68956,Male,14,Business,700,3,1,1,3,neutral or dissatisfied
14370,Female,24,Business,3235,5,4,2,5,satisfied
118759,Female,65,Eco,368,1,4,3,2,neutral or dissatisfied
54262,,26,Eco,1222,4,4,2,4,neutral or dissatisfied
117535,Female,50,Business,1586,2,2,3,3,satisfied
22680,Female,13,Business,3878,5,5,4,5,satisfied
6944,Female,30,Business,1793,3,2,1,3,neutral or dissatisfied
60446,Male,36,Business,862,2,3,5,2,neutral or dissatisfied
125433,Female,55,Eco,735,1,1,4,4,neutral or dissatisfied
103770,Male,56,Business,1670,3,3,3,3,neutral or dissatisfied
104552,Male,39,Business,3322,1,3,4,2,neutral or dissatisfied
70523,Female,44,Business,1258,4,3,3,3,satisfied
76584,Female,34,Business,516,3,5,5,3,neutral or dissatisfied
84807,Female,39,Business,1509,3,5,3,3,satisfied
37837,Female,26,Business,937,3,5,5,3,satisfied
120502,Male,45,Business,449,5,5,3,5,satisfied
908,Female,37,Business,270,5,3,3,5,neutral or dissatisfied
69961,Female,46,Eco,2174,2,5,3,4,neutral or dissatisfied
63872,Female,47,Eco,1158,2,3,2,2,neutral or dissatisfied
59591,Female,27,Business,854,4,3,5,4,neutral or dissatisfied
109244,Male,38,Eco,391,5,4,5,5,neutral or dissatisfied
92675,Female,39,Business,3146,3,4,5,5,satisfied
74015,Male,23,Business,1471,2,4,2,2,neutral or dissatisfied
122011,Male,57,Business,83,2,3,4,1,neutral or dissatisfied
109772,Male,49,Business,1092,3,3,4,3,neutral or dissatisfied
124470,Female,14,Eco,980,1,3,4,1,neutral or dissatisfied
97027,Female,35,Business,883,3,5,5,3,neutral or dissatisfied
102915,Male,37,Business,436,3,4,3,3,satisfied
88926,Female,31,Business,1199,4,5,1,4,neutral or dissatisfied
